descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento com 2 Quartos à Venda, 82m²;Rua Leão Sallum, 526 - Boa Vista, Curitiba - PR;82;2;2;2;R$ 735.000;R$ 486;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS735000-id-2517262807/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;2-3;2-3;1-2;R$ 668.100;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2484690127/
Apartamento com 3 Quartos à Venda, 98m²;Avenida Paraná - Bacacheri, Curitiba - PR;98;3;2;1;R$ 415.000;R$ 797;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-98m2-venda-RS415000-id-2477268293/
Apartamento com 3 Quartos à Venda, 140m²;Rua Gago Coutinho, 45 - Bacacheri, Curitiba - PR;140;3;4;2;R$ 890.000;R$ 900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-140m2-venda-RS890000-id-2521551274/
Apartamento com 3 Quartos à Venda, 56m²;Rua Padre Agostinho, 2715 - Bigorrilho, Curitiba - PR;56;3;1;1;R$ 390.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bigorrilho-bairros-curitiba-com-garagem-56m2-venda-RS390000-id-2497942673/
Apartamento com 4 Quartos à Venda, 170m²;Rua Nunes Machado, 481 - Centro, Curitiba - PR;170;4;3;2;R$ 990.000;R$ 1.100;https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-curitiba-com-garagem-170m2-venda-RS990000-id-2523921579/
Apartamento com 2 Quartos à Venda, 48m²;Rua Rio Grande do Sul, 907 - Água Verde, Curitiba - PR;48;2;1;1;R$ 239.000;R$ 310;https://www.vivareal.com.br/imovel/apartamento-2-quartos-agua-verde-bairros-curitiba-com-garagem-48m2-venda-RS239000-id-2503697884/
Apartamento com 2 Quartos à Venda, 113m²;Rua Coronel Pedro Scherer Sobrinho, 152 - Cristo Rei, Curitiba - PR;113;2;3;2;R$ 1.095.000;R$ 550;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-113m2-venda-RS1095000-id-2519793461/
Bosco Centrale;Rua Mariano Torres, 573 - Centro, Curitiba - PR;72-168;3;2-3;1-2;R$ 656.000;;https://www.vivareal.com.br/imoveis-lancamento/bosco-centrale-2481674976/
Apartamento com 2 Quartos à Venda, 59m²;Rua Alberto Potier, 456 - Boa Vista, Curitiba - PR;59;2;2;1;R$ 404.000;R$ 260;https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-59m2-venda-RS404000-id-2513064777/
Apartamento com  Quarto à Venda, 33m²;Avenida Presidente Wenceslau Braz, 3745 - Portão, Curitiba - PR;33;1;1;1;R$ 225.000;;https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-com-garagem-33m2-venda-RS225000-id-2520636523/
Apartamento com 4 Quartos à Venda, 132m²;Rua Jerônimo Durski, 1533 - Bigorrilho, Curitiba - PR;132;4;3;1;R$ 580.000;R$ 1.200;https://www.vivareal.com.br/imovel/apartamento-4-quartos-bigorrilho-bairros-curitiba-com-garagem-132m2-venda-RS580000-id-2488350712/
Apartamento com 3 Quartos à Venda, 102m²;Avenida Iguaçu, 2960 - Água Verde, Curitiba - PR;102;3;3;2;R$ 650.000;R$ 1.000;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
Apartamento com 2 Quartos à Venda, 49m²;Santa Cândida, Curitiba - PR;49;2;1;1;R$ 227.000;R$ 180;https://www.vivareal.com.br/imovel/apartamento-2-quartos-santa-candida-bairros-curitiba-com-garagem-49m2-venda-RS227000-id-2519796716/
Apartamento com 3 Quartos à Venda, 78m²;Rua Afonso Piotto, 99 - Cidade Industrial, Curitiba - PR;78;3;1;1;R$ 270.000;R$ 340;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-industrial-bairros-curitiba-com-garagem-78m2-venda-RS270000-id-2490155194/
Manhattan Tower;Rua André de Barros, 419 - Centro, Curitiba - PR;19-34;1;1;--;R$ 159.900;;https://www.vivareal.com.br/imoveis-lancamento/manhattan-tower-2520503177/
Apartamento com 3 Quartos à Venda, 101m²;Rua Jeremias Maciel Perretto, 802 - Campo Comprido, Curitiba - PR;101;3;2;2;R$ 734.900;R$ 660;https://www.vivareal.com.br/imovel/apartamento-3-quartos-campo-comprido-bairros-curitiba-com-garagem-101m2-venda-RS734900-id-2523675369/
Apartamento com 2 Quartos à Venda, 71m²;Rua Schiller, 126 - Cristo Rei, Curitiba - PR;71;2;2;1;R$ 490.000;R$ 250;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-71m2-venda-RS490000-id-2522521380/
Apartamento com 3 Quartos à Venda, 51m²;Rua Juvenal Carvalho, 190 - Fazendinha, Curitiba - PR;51;3;1;1;R$ 195.000;R$ 400;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-51m2-venda-RS195000-id-2468277694/
Apartamento com 3 Quartos à Venda, 77m²;Rua João Batista Dallarmi, 221 - Santo Inácio, Curitiba - PR;77;3;3;2;R$ 520.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-77m2-venda-RS520000-id-2494695622/
